,timestep_int,age_bin,USER_gender,USER_eldership,count,timestep
210,908,"(39, 49]",Vyras,Justiniškės,7.658431468349573,2024-06
211,908,"(39, 49]",Vyras,Žirmūnai,9.959572846442235,2024-06
212,908,"(39, 49]",Vyras,Žvėrynas,6.030493422861952,2024-06
213,908,"(39, 49]",Vyras,Pašilaičiai,10.708688042038364,2024-06
214,908,"(39, 49]",Vyras,Lazdynai,8.437084732956322,2024-06
215,908,"(39, 49]",Vyras,Naujamiestis,9.130390405083379,2024-06
216,908,"(39, 49]",Vyras,Naujoji Vilnia,9.87038204356146,2024-06
217,908,"(39, 49]",Vyras,Antakalnis,9.911175976646724,2024-06
218,908,"(39, 49]",Vyras,Senamiestis,8.043236765119026,2024-06
219,908,"(39, 49]",Vyras,Fabijoniškės,9.568389278903812,2024-06
220,908,"(39, 49]",Vyras,Šeškinė,8.303304764286263,2024-06
221,908,"(39, 49]",Vyras,Pilaitė,8.942520750910553,2024-06
222,908,"(39, 49]",Vyras,Karoliniškės,7.4099169584521505,2024-06
223,908,"(39, 49]",Vyras,Rasos,5.739823917708938,2024-06
224,908,"(39, 49]",Vyras,Viršuliškės,5.679762517425855,2024-06
225,908,"(39, 49]",Vyras,Verkiai,11.830658325255367,2024-06
226,908,"(39, 49]",Vyras,Šnipiškės,6.76251454367196,2024-06
227,908,"(39, 49]",Vyras,Naujininkai,9.039982923265246,2024-06
228,908,"(39, 49]",Vyras,Vilkpėdė,6.723331248096262,2024-06
229,908,"(39, 49]",Vyras,Paneriai,5.397702842911405,2024-06
230,908,"(39, 49]",Vyras,Grigiškės,4.627744134340858,2024-06
231,908,"(39, 49]",Moteris,Justiniškės,7.989357521476929,2024-06
232,908,"(39, 49]",Moteris,Žirmūnai,10.290498899569592,2024-06
233,908,"(39, 49]",Moteris,Žvėrynas,6.361419475989308,2024-06
234,908,"(39, 49]",Moteris,Pašilaičiai,11.039614095165721,2024-06
235,908,"(39, 49]",Moteris,Lazdynai,8.768010786083678,2024-06
236,908,"(39, 49]",Moteris,Naujamiestis,9.461316458210735,2024-06
237,908,"(39, 49]",Moteris,Naujoji Vilnia,10.201308096688816,2024-06
238,908,"(39, 49]",Moteris,Antakalnis,10.242102029774081,2024-06
239,908,"(39, 49]",Moteris,Senamiestis,8.37416281824638,2024-06
240,908,"(39, 49]",Moteris,Fabijoniškės,9.899315332031168,2024-06
241,908,"(39, 49]",Moteris,Šeškinė,8.634230817413616,2024-06
242,908,"(39, 49]",Moteris,Pilaitė,9.27344680403791,2024-06
243,908,"(39, 49]",Moteris,Karoliniškės,7.740843011579507,2024-06
244,908,"(39, 49]",Moteris,Rasos,6.070749970836294,2024-06
245,908,"(39, 49]",Moteris,Viršuliškės,6.01068857055321,2024-06
246,908,"(39, 49]",Moteris,Verkiai,12.161584378382724,2024-06
247,908,"(39, 49]",Moteris,Šnipiškės,7.093440596799315,2024-06
248,908,"(39, 49]",Moteris,Naujininkai,9.370908976392602,2024-06
249,908,"(39, 49]",Moteris,Vilkpėdė,7.054257301223615,2024-06
250,908,"(39, 49]",Moteris,Paneriai,5.72862889603876,2024-06
251,908,"(39, 49]",Moteris,Grigiškės,4.958670187468215,2024-06
252,908,"(49, 59]",Vyras,Justiniškės,5.260418943832526,2024-06
253,908,"(49, 59]",Vyras,Žirmūnai,7.561560321925189,2024-06
254,908,"(49, 59]",Vyras,Žvėrynas,3.632480898344907,2024-06
255,908,"(49, 59]",Vyras,Pašilaičiai,8.310675517521318,2024-06
256,908,"(49, 59]",Vyras,Lazdynai,6.039072208439276,2024-06
257,908,"(49, 59]",Vyras,Naujamiestis,6.732377880566334,2024-06
258,908,"(49, 59]",Vyras,Naujoji Vilnia,7.472369519044413,2024-06
259,908,"(49, 59]",Vyras,Antakalnis,7.513163452129678,2024-06
260,908,"(49, 59]",Vyras,Senamiestis,5.64522424060198,2024-06
261,908,"(49, 59]",Vyras,Fabijoniškės,7.170376754386766,2024-06
262,908,"(49, 59]",Vyras,Šeškinė,5.905292239769217,2024-06
263,908,"(49, 59]",Vyras,Pilaitė,6.544508226393509,2024-06
264,908,"(49, 59]",Vyras,Karoliniškės,5.011904433935106,2024-06
265,908,"(49, 59]",Vyras,Rasos,3.341811393191893,2024-06
266,908,"(49, 59]",Vyras,Viršuliškės,3.281749992908809,2024-06
267,908,"(49, 59]",Vyras,Verkiai,9.432645800738321,2024-06
268,908,"(49, 59]",Vyras,Šnipiškės,4.364502019154914,2024-06
269,908,"(49, 59]",Vyras,Naujininkai,6.641970398748201,2024-06
270,908,"(49, 59]",Vyras,Vilkpėdė,4.325318723579215,2024-06
271,908,"(49, 59]",Vyras,Paneriai,2.999690318394359,2024-06
272,908,"(49, 59]",Vyras,Grigiškės,2.229731609823814,2024-06
273,908,"(49, 59]",Moteris,Justiniškės,5.591344996959883,2024-06
274,908,"(49, 59]",Moteris,Žirmūnai,7.892486375052545,2024-06
275,908,"(49, 59]",Moteris,Žvėrynas,3.9634069514722636,2024-06
276,908,"(49, 59]",Moteris,Pašilaičiai,8.641601570648678,2024-06
277,908,"(49, 59]",Moteris,Lazdynai,6.369998261566632,2024-06
278,908,"(49, 59]",Moteris,Naujamiestis,7.0633039336936925,2024-06
279,908,"(49, 59]",Moteris,Naujoji Vilnia,7.80329557217177,2024-06
280,908,"(49, 59]",Moteris,Antakalnis,7.844089505257038,2024-06
281,908,"(49, 59]",Moteris,Senamiestis,5.9761502937293365,2024-06
282,908,"(49, 59]",Moteris,Fabijoniškės,7.501302807514122,2024-06
283,908,"(49, 59]",Moteris,Šeškinė,6.236218292896574,2024-06
284,908,"(49, 59]",Moteris,Pilaitė,6.875434279520864,2024-06
285,908,"(49, 59]",Moteris,Karoliniškės,5.3428304870624626,2024-06
286,908,"(49, 59]",Moteris,Rasos,3.6727374463192497,2024-06
287,908,"(49, 59]",Moteris,Viršuliškės,3.6126760460361655,2024-06
288,908,"(49, 59]",Moteris,Verkiai,9.763571853865677,2024-06
289,908,"(49, 59]",Moteris,Šnipiškės,4.6954280722822705,2024-06
290,908,"(49, 59]",Moteris,Naujininkai,6.972896451875556,2024-06
291,908,"(49, 59]",Moteris,Vilkpėdė,4.656244776706572,2024-06
292,908,"(49, 59]",Moteris,Paneriai,3.3306163715217156,2024-06
293,908,"(49, 59]",Moteris,Grigiškės,2.5606576629511704,2024-06
294,908,"(29, 39]",Vyras,Justiniškės,11.28984436643196,2024-06
295,908,"(29, 39]",Vyras,Žirmūnai,13.590985744524623,2024-06
296,908,"(29, 39]",Vyras,Žvėrynas,9.66190632094434,2024-06
297,908,"(29, 39]",Vyras,Pašilaičiai,14.340100940120752,2024-06
298,908,"(29, 39]",Vyras,Lazdynai,12.06849763103871,2024-06
